Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1009,anita.reddy@gmail.com,paid,2025-09-13 02:06:18 -0400,unfulfilled,,yes,INR,2499.00,0.00,224.91,2723.91,"",0.00,"",2025-09-13 02:06:18 -0400,1,Ultrasonic Essential Oil Diffuser,2499.00,,EO-DIF-013,true,true,pending,Anita Reddy,VIT University Tiruvalam Road Katpadi,VIT University Tiruvalam Road Katpadi,,,Vellore,'632014,TN,IN,,Anita Reddy,,"",,,"",,,IN,,,"",,(for testing) Bogus Gateway,rPLQP2iN7nizexHs1z8MPHSjr,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6582710731033,"",Low,shopify_draft_order,0.00,CGST 9%,224.91,,,,,,,,,+918321098765,,,Tamil Nadu,,rPLQP2iN7nizexHs1z8MPHSjr,,,riPiBEsE7D91gqllwa3kaX36h + rPLQP2iN7nizexHs1z8MPHSjr
#1008,rahul.gupta@yahoo.com,paid,2025-09-13 02:03:06 -0400,unfulfilled,,yes,INR,1899.00,0.00,170.91,2069.91,"",0.00,"",2025-09-13 02:03:05 -0400,1,Insulated Stainless Steel Water Bottle,1899.00,,SS-WB-014,true,true,pending,Rahul Gupta,,"",,,"",,,IN,,Rahul Gupta,,"",,,"",,,IN,,,"",,manual,rw1L07OiTbRMe56KuWWtBwA1Y,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6582707912985,"",Low,shopify_draft_order,0.00,CGST 9%,170.91,,,,,,,,,+917654321098,,,,,rw1L07OiTbRMe56KuWWtBwA1Y,,,rw1L07OiTbRMe56KuWWtBwA1Y
#1007,arjun.sharma@email.com,paid,2025-09-12 11:29:18 -0400,unfulfilled,,yes,INR,5499.00,0.00,494.91,5993.91,"",0.00,"",2025-09-12 11:29:17 -0400,1,Smartwatch Edge X,5499.00,,SW-EDG-003,true,true,pending,Arjun Arjun Sharma,VIT University Tiruvalam Road Katpadi,VIT University Tiruvalam Road Katpadi,,,Vellore,'632014,TN,IN,+919113124563,Arjun Arjun Sharma,,"",,,"",,,IN,,,"",,(for testing) Bogus Gateway,rPBcvIhcWbUJVqXxKFpKowoc3,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581563293977,"",Low,shopify_draft_order,0.00,CGST 9%,494.91,,,,,,,,,+919876543210,,,Tamil Nadu,,rPBcvIhcWbUJVqXxKFpKowoc3,,,rxIis6fcHXYvTGjfPDgP6XRKC + rclxmjeTl84vBc9Ixx89shdL9 + rPBcvIhcWbUJVqXxKFpKowoc3
#1006,ravi.mehta@yahoo.com,paid,2025-09-12 11:14:25 -0400,unfulfilled,,yes,INR,3898.00,0.00,350.82,4248.82,"",0.00,"",2025-09-12 11:14:24 -0400,1,Glow Sneakers,2999.00,,SNK-GL-001,true,true,pending,Ravi Mehta,,"",,,"",,,IN,,Ravi Mehta,,"",,,"",,,IN,,,"",,manual,rxwoqw2mjnUZGDed88amZAu5S,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581544452377,"",Low,shopify_draft_order,0.00,CGST 9%,350.82,,,,,,,,,+919210987654,,,,,rxwoqw2mjnUZGDed88amZAu5S,,,rxwoqw2mjnUZGDed88amZAu5S
#1006,ravi.mehta@yahoo.com,,,,,,,,,,,,,,2025-09-12 11:14:24 -0400,1,Handcrafted Ceramic Coffee Mug,899.00,"",CM-HC-011,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,retail-insights-lab,,,,,,,,,0.00,,,,,,,,,,,+919210987654,,,,,,,,
#1005,kavya.joshi@email.com,paid,2025-09-12 11:12:25 -0400,unfulfilled,,yes,INR,1299.00,0.00,116.91,1415.91,"",0.00,"",2025-09-12 11:12:25 -0400,1,Bamboo Desk Organizer,1299.00,,BD-ORG-015,true,true,pending,Kavya Joshi,,"",,,"",,,IN,,Kavya Joshi,,"",,,"",,,IN,,,"",,manual,rNIORT6WLsmWNag4WQMn2WY91,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581542256921,"",Low,shopify_draft_order,0.00,CGST 9%,116.91,,,,,,,,,+918109876543,,,,,rNIORT6WLsmWNag4WQMn2WY91,,,rNIORT6WLsmWNag4WQMn2WY91
#1004,arjun.sharma@email.com,paid,2025-09-12 11:09:27 -0400,unfulfilled,,yes,INR,3999.00,0.00,359.91,4358.91,"",0.00,"",2025-09-12 11:09:27 -0400,1,Noise Cancelling Headphones,3999.00,,HP-NC-005,true,true,pending,Arjun Arjun Sharma,,"",,,"",,,IN,,Arjun Arjun Sharma,,"",,,"",,,IN,,,"",,manual,r1amdlSu8DiPUYbrAm7nLjucv,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581538455833,"",Low,shopify_draft_order,0.00,CGST 9%,359.91,,,,,,,,,+919876543210,,,,,r1amdlSu8DiPUYbrAm7nLjucv,,,r1amdlSu8DiPUYbrAm7nLjucv
#1003,deepika.nair@outlook.com,paid,2025-09-12 11:07:31 -0400,unfulfilled,,yes,INR,2898.00,0.00,260.82,3158.82,"",0.00,"",2025-09-12 11:07:30 -0400,1,Bamboo Water Bottle,1299.00,,BB-WB-006,true,true,pending,Deepika Nair,,"",,,"",,,IN,,Deepika Nair,,"",,,"",,,IN,,,"",,manual,rikskZrtvqz7Cd3DMoJ0QgKUV,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581535506713,"",Low,shopify_draft_order,0.00,CGST 9%,260.82,,,,,,,,,+919987654321,,,,,rikskZrtvqz7Cd3DMoJ0QgKUV,,,rikskZrtvqz7Cd3DMoJ0QgKUV
#1003,deepika.nair@outlook.com,,,,,,,,,,,,,,2025-09-12 11:07:30 -0400,1,Blue Light Reading Glasses,1599.00,"",BL-RG-012,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,retail-insights-lab,,,,,,,,,0.00,,,,,,,,,,,+919987654321,,,,,,,,
#1002,amit.verma@gmail.com,paid,2025-09-12 11:05:25 -0400,unfulfilled,,yes,INR,899.00,0.00,80.91,979.91,"",0.00,"",2025-09-12 11:05:25 -0400,1,Handcrafted Ceramic Coffee Mug,899.00,,CM-HC-011,true,true,pending,Amit Verma,,"",,,"",,,IN,,Amit Verma,,"",,,"",,,IN,,,"",,manual,r1tmevJmTPuBjM2i5rYcPxAlj,0.00,retail-insights-lab,0.00,Sanskar Verma,,,6581533475097,"",Low,shopify_draft_order,0.00,CGST 9%,80.91,,,,,,,,,+919098765432,,,,,r1tmevJmTPuBjM2i5rYcPxAlj,,,r1tmevJmTPuBjM2i5rYcPxAlj
