Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Default Address Company,Default Address Address1,Default Address Address2,Default Address City,Default Address Province Code,Default Address Country Code,Default Address Zip,Default Address Phone,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Note,Tax Exempt,Tags
'9367770562841,Arjun,Arjun Sharma,arjun.sharma@email.com,yes,,,,,,IN,,,'+919876543210,yes,4358.91,1,,no,
'9367772758297,Priya,Patel,priya.patel@gmail.com,yes,,,,,,IN,,,'+918765432109,yes,0.00,0,,no,
'9367774232857,Rahul,Gupta,rahul.gupta@yahoo.com,yes,,,,,,IN,,,'+917654321098,yes,2069.91,1,,no,
'9367775576345,Sneha,Singh,sneha.singh@outlook.com,yes,,,,,,IN,,,'+916543210987,yes,0.00,0,,no,
'9367777476889,Vikram,Kumar,vikram.kumar@email.com,yes,,,,,,IN,,,'+916432109876,yes,0.00,0,,no,
'9367779049753,Anita,Reddy,anita.reddy@gmail.com,yes,,,,,,IN,,,'+918321098765,yes,0.00,0,,no,
'9367780557081,Ravi,Mehta,ravi.mehta@yahoo.com,yes,,,,,,IN,,,'+919210987654,yes,4248.82,1,,no,
'9367781966105,Kavya,Joshi,kavya.joshi@email.com,yes,,,,,,IN,,,'+918109876543,yes,1415.91,1,,no,
'9367783211289,Amit,Verma,amit.verma@gmail.com,yes,,,,,,IN,,,'+919098765432,yes,979.91,1,,no,
'9367784390937,Deepika,Nair,deepika.nair@outlook.com,yes,,,,,,IN,,,'+919987654321,yes,3158.82,1,,no,
